GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project1,com.github.jaczerob.project1.models.users,Manager,7,0,0,0,2,0,1,0,1,0
project1,com.github.jaczerob.project1.models.users,User,24,54,5,5,2,14,6,5,1,5
project1,com.github.jaczerob.project1.models.users,Employee,8,11,0,0,4,4,2,2,2,2
project1,com.github.jaczerob.project1.models.requests,ReimbursementRequest,3,53,5,5,0,14,5,5,0,5
project1,com.github.jaczerob.project1.models.requests,ResolvedReimbursementRequest,4,36,0,0,2,10,1,4,1,4
project1,com.github.jaczerob.project1.models.requests,PendingReimbursementRequest,0,7,0,0,0,2,0,1,0,1
project1,com.github.jaczerob.project1.models,ERSObject,0,9,0,0,0,4,0,2,0,2
project1,com.github.jaczerob.project1.web,RegisterServlet,101,0,4,0,26,0,7,0,5,0
project1,com.github.jaczerob.project1.web,ContextListener,80,0,0,0,19,0,4,0,4,0
project1,com.github.jaczerob.project1.exceptions,RecordNotExistsException,4,0,0,0,2,0,1,0,1,0
project1,com.github.jaczerob.project1.exceptions,ERSException,0,4,0,0,0,2,0,1,0,1
project1,com.github.jaczerob.project1.exceptions,RecordAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
project1,com.github.jaczerob.project1.repositories,ReimbursementRequestRepository,48,320,4,12,12,84,4,11,0,7
project1,com.github.jaczerob.project1.repositories,UserRepository,32,214,4,6,8,59,4,7,0,6
project1,com.github.jaczerob.project1.services,MailService,0,52,0,0,0,12,0,2,0,2
project1,com.github.jaczerob.project1.services,UserService,0,67,0,18,0,17,0,13,0,4
project1,com.github.jaczerob.project1.services,ReimbursementRequestService,5,80,1,11,0,22,1,12,0,7
project1,com.github.jaczerob.project1.services,MailService.new Authenticator() {...},0,18,0,0,0,2,0,2,0,2
