GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project1,com.github.jaczerob.project1.web.responses.employee.update,SuccessfulUpdateResponse,9,0,0,0,4,0,1,0,1,0
project1,com.github.jaczerob.project1.web.responses.employee.update,NoUpdateResponse,9,0,0,0,4,0,1,0,1,0
project1,com.github.jaczerob.project1.models.users,Manager,7,0,0,0,2,0,1,0,1,0
project1,com.github.jaczerob.project1.models.users,User,27,54,5,5,3,14,7,5,2,5
project1,com.github.jaczerob.project1.models.users,Employee,8,11,0,0,4,4,2,2,2,2
project1,com.github.jaczerob.project1.models.requests,ReimbursementRequest,6,53,5,5,1,14,6,5,1,5
project1,com.github.jaczerob.project1.models.requests,ResolvedReimbursementRequest,10,59,4,4,3,15,6,5,2,5
project1,com.github.jaczerob.project1.models.requests,PendingReimbursementRequest,0,7,0,0,0,2,0,1,0,1
project1,com.github.jaczerob.project1.web.servlets.manager,RegisterServlet,10,121,1,3,3,26,1,5,0,4
project1,com.github.jaczerob.project1.web.servlets.manager,EmployeesServlet,36,0,0,0,8,0,3,0,3,0
project1,com.github.jaczerob.project1.web.servlets.manager,ManagerServlet,5,26,1,1,2,6,1,2,0,2
project1,com.github.jaczerob.project1.web.servlets.common,InfoServlet,0,47,0,2,0,12,0,4,0,3
project1,com.github.jaczerob.project1.web.servlets.common,LogoutServlet,45,0,2,0,12,0,4,0,3,0
project1,com.github.jaczerob.project1.web.servlets.common,LoginServlet,0,108,1,7,0,25,1,6,0,3
project1,com.github.jaczerob.project1.web.servlets.common,LogsServlet,55,0,2,0,15,0,3,0,2,0
project1,com.github.jaczerob.project1.exceptions,RecordNotExistsException,4,0,0,0,2,0,1,0,1,0
project1,com.github.jaczerob.project1.exceptions,ERSException,0,4,0,0,0,2,0,1,0,1
project1,com.github.jaczerob.project1.exceptions,RecordAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
project1,com.github.jaczerob.project1.repositories,UserRepository,32,214,4,6,8,59,4,7,0,6
project1,com.github.jaczerob.project1.repositories,ReimbursementRequestRepository,48,320,4,12,12,84,4,11,0,7
project1,com.github.jaczerob.project1.web.responses.common.logout,NotLoggedInResponse,9,0,0,0,4,0,1,0,1,0
project1,com.github.jaczerob.project1.web.responses.common.logout,SuccessfullyLoggedOutResponse,9,0,0,0,4,0,1,0,1,0
project1,com.github.jaczerob.project1.services,MailService,0,52,0,0,0,12,0,2,0,2
project1,com.github.jaczerob.project1.services,MailService.new Authenticator() {...},0,18,0,0,0,2,0,2,0,2
project1,com.github.jaczerob.project1.services,UserService,45,107,12,32,6,28,7,21,1,5
project1,com.github.jaczerob.project1.services,ReimbursementRequestService,5,80,1,11,0,22,1,12,0,7
project1,com.github.jaczerob.project1.web.responses,Response,0,10,0,0,0,4,0,3,0,3
project1,com.github.jaczerob.project1.web.responses.common.login,AlreadyLoggedInResponse,0,9,0,0,0,4,0,1,0,1
project1,com.github.jaczerob.project1.web.responses.common.login,SuccessfulLoginResponse,0,9,0,0,0,4,0,1,0,1
project1,com.github.jaczerob.project1.web.responses.common.login,InvalidLoginDetailsResponse,0,9,0,0,0,4,0,1,0,1
project1,com.github.jaczerob.project1.web.responses.employee.information,UserInformationResponse,0,24,0,0,0,8,0,4,0,4
project1,com.github.jaczerob.project1.models,ERSObject,0,9,0,0,0,4,0,2,0,2
project1,com.github.jaczerob.project1.web.context,ContextListener,9,83,0,0,4,18,1,3,1,3
project1,com.github.jaczerob.project1.web.responses.common,ServerError,9,0,0,0,4,0,1,0,1,0
project1,com.github.jaczerob.project1.web.responses.common,InvalidParametersResponse,0,24,0,0,0,6,0,2,0,2
project1,com.github.jaczerob.project1.web.responses.common,NotAuthorizedResponse,0,9,0,0,0,4,0,1,0,1
project1,com.github.jaczerob.project1.web.servlets.employee,InfoUpdateServlet,148,0,14,0,30,0,10,0,3,0
project1,com.github.jaczerob.project1.web.servlets.employee,EmployeeServlet,8,23,1,1,3,5,2,1,1,1
project1,com.github.jaczerob.project1.web.servlets,Servlet,106,14,10,0,24,4,8,3,3,3
project1,com.github.jaczerob.project1.web.responses.manager.employees,EmployeesResponse,15,0,0,0,6,0,2,0,2,0
project1,com.github.jaczerob.project1.web.responses.manager.register,SuccessfulRegistrationResponse,0,9,0,0,0,4,0,1,0,1
project1,com.github.jaczerob.project1.web.responses.manager.register,InvalidRegistrationDetailsResponse,0,9,0,0,0,4,0,1,0,1
project1,com.github.jaczerob.project1.web.responses.manager.register,LoginDetailsExistResponse,0,9,0,0,0,4,0,1,0,1
